inc	dec	F	year
-35.6446	-21.6455	23512.30	2000.00
-35.6516	-21.6473	23511.90	2000.03
-35.6586	-21.6491	23511.50	2000.05
-35.6657	-21.6509	23511.00	2000.08
-35.6727	-21.6527	23510.60	2000.10
-35.6798	-21.6545	23510.20	2000.13
-35.6868	-21.6563	23509.80	2000.15
-35.6938	-21.6580	23509.30	2000.18
-35.7009	-21.6598	23508.90	2000.20
-35.7079	-21.6616	23508.50	2000.23
-35.7150	-21.6634	23508.10	2000.25
-35.7220	-21.6652	23507.60	2000.28
-35.7290	-21.6670	23507.20	2000.30
-35.7361	-21.6688	23506.80	2000.33
-35.7431	-21.6706	23506.40	2000.35
-35.7502	-21.6724	23505.90	2000.38
-35.7572	-21.6742	23505.50	2000.40
-35.7643	-21.6760	23505.10	2000.43
-35.7713	-21.6778	23504.70	2000.45
-35.7783	-21.6795	23504.20	2000.48
-35.7854	-21.6813	23503.80	2000.50
-35.7924	-21.6831	23503.40	2000.53
-35.7995	-21.6849	23503.00	2000.55
-35.8065	-21.6867	23502.60	2000.58
-35.8136	-21.6885	23502.10	2000.60
-35.8206	-21.6903	23501.70	2000.63
-35.8276	-21.6921	23501.30	2000.65
-35.8347	-21.6939	23500.90	2000.68
-35.8417	-21.6957	23500.50	2000.70
-35.8488	-21.6975	23500.00	2000.73
-35.8558	-21.6993	23499.60	2000.75
-35.8629	-21.7011	23499.20	2000.78
-35.8699	-21.7029	23498.80	2000.80
-35.8770	-21.7047	23498.40	2000.83
-35.8840	-21.7065	23498.00	2000.85
-35.8911	-21.7083	23497.50	2000.88
-35.8981	-21.7101	23497.10	2000.90
-35.9051	-21.7119	23496.70	2000.93
-35.9122	-21.7137	23496.30	2000.95
-35.9192	-21.7155	23495.90	2000.98
-35.9263	-21.7173	23495.50	2001.00
-35.9333	-21.7191	23495.00	2001.03
-35.9404	-21.7209	23494.60	2001.05
-35.9474	-21.7227	23494.20	2001.08
-35.9545	-21.7245	23493.80	2001.10
-35.9615	-21.7263	23493.40	2001.13
-35.9686	-21.7281	23493.00	2001.15
-35.9756	-21.7299	23492.60	2001.18
-35.9827	-21.7317	23492.20	2001.20
-35.9897	-21.7335	23491.70	2001.23
-35.9968	-21.7353	23491.30	2001.25
-36.0038	-21.7371	23490.90	2001.28
-36.0109	-21.7389	23490.50	2001.30
-36.0179	-21.7408	23490.10	2001.33
-36.0250	-21.7426	23489.70	2001.35
