X	Y	Long	Lat	Z
-80000.00	-100000.00	-45.5000	-18.2500	7.897
-80000.00	-95000.00	-45.5000	-18.2333	8.306
-80000.00	-90000.00	-45.5000	-18.2167	8.691
-80000.00	-85000.00	-45.5000	-18.2000	9.037
-80000.00	-80000.00	-45.5000	-18.1833	9.322
-80000.00	-75000.00	-45.5000	-18.1667	9.522
-80000.00	-70000.00	-45.5000	-18.1500	9.607
-80000.00	-65000.00	-45.5000	-18.1333	9.545
-80000.00	-60000.00	-45.5000	-18.1167	9.296
-80000.00	-55000.00	-45.5000	-18.1000	8.824
-80000.00	-50000.00	-45.5000	-18.0833	8.090
-80000.00	-45000.00	-45.5000	-18.0667	7.061
-80000.00	-40000.00	-45.5000	-18.0500	5.712
-80000.00	-35000.00	-45.5000	-18.0333	4.036
-80000.00	-30000.00	-45.5000	-18.0167	2.044
-80000.00	-25000.00	-45.5000	-18.0000	-0.227
-80000.00	-20000.00	-45.5000	-17.9833	-2.713
-80000.00	-15000.00	-45.5000	-17.9667	-5.322
-80000.00	-10000.00	-45.5000	-17.9500	-7.941
-80000.00	-5000.00	-45.5000	-17.9333	-10.448
-80000.00	0.00	-45.5000	-17.9167	-12.718
-80000.00	5000.00	-45.5000	-17.9000	-14.642
-80000.00	10000.00	-45.5000	-17.8833	-16.137
-80000.00	15000.00	-45.5000	-17.8667	-17.154
-80000.00	20000.00	-45.5000	-17.8500	-17.683
-80000.00	25000.00	-45.5000	-17.8333	-17.748
-80000.00	30000.00	-45.5000	-17.8167	-17.399
-80000.00	35000.00	-45.5000	-17.8000	-16.708
-80000.00	40000.00	-45.5000	-17.7833	-15.755
-80000.00	45000.00	-45.5000	-17.7667	-14.618
-80000.00	50000.00	-45.5000	-17.7500	-13.372
-80000.00	55000.00	-45.5000	-17.7333	-12.081
-80000.00	60000.00	-45.5000	-17.7167	-10.794
-80000.00	65000.00	-45.5000	-17.7000	-9.551
-80000.00	70000.00	-45.5000	-17.6833	-8.378
-80000.00	75000.00	-45.5000	-17.6667	-7.291
-80000.00	80000.00	-45.5000	-17.6500	-6.301
-80000.00	85000.00	-45.5000	-17.6333	-5.409
-80000.00	90000.00	-45.5000	-17.6167	-4.614
-80000.00	95000.00	-45.5000	-17.6000	-3.911
-80000.00	100000.00	-45.5000	-17.5833	-3.295
-80000.00	105000.00	-45.5000	-17.5667	-2.757
-80000.00	110000.00	-45.5000	-17.5500	-2.291
-80000.00	115000.00	-45.5000	-17.5333	-1.888
-80000.00	120000.00	-45.5000	-17.5167	-1.541
-80000.00	125000.00	-45.5000	-17.5000	-1.243
-80000.00	130000.00	-45.5000	-17.4833	-0.989
-80000.00	135000.00	-45.5000	-17.4667	-0.771
-80000.00	140000.00	-45.5000	-17.4500	-0.587
-80000.00	145000.00	-45.5000	-17.4333	-0.430
-80000.00	150000.00	-45.5000	-17.4167	-0.297
-75000.00	-100000.00	-45.5000	-17.4000	8.843
-75000.00	-95000.00	-45.5000	-17.3833	9.390
-75000.00	-90000.00	-45.5000	-17.3667	9.931
-75000.00	-85000.00	-45.5000	-17.3500	10.448
-75000.00	-80000.00	-45.5000	-17.3333	10.920
-75000.00	-75000.00	-45.5000	-17.3167	11.321
-75000.00	-70000.00	-45.5000	-17.3000	11.617
-75000.00	-65000.00	-45.5000	-17.2833	11.769
-75000.00	-60000.00	-45.5000	-17.2667	11.730
-75000.00	-55000.00	-45.5000	-17.2500	11.452
-75000.00	-50000.00	-45.5000	-17.2333	10.882
-75000.00	-45000.00	-45.5000	-17.2167	9.971
-75000.00	-40000.00	-45.5000	-17.2000	8.679
-75000.00	-35000.00	-45.5000	-17.1833	6.981
-75000.00	-30000.00	-45.5000	-17.1667	4.876
-75000.00	-25000.00	-45.5000	-17.1500	2.397
-75000.00	-20000.00	-45.5000	-17.1333	-0.389
-75000.00	-15000.00	-45.5000	-17.1167	-3.374
-75000.00	-10000.00	-45.5000	-17.1000	-6.422
-75000.00	-5000.00	-45.5000	-17.0833	-9.374
-75000.00	0.00	-45.5000	-17.0667	-12.072
-75000.00	5000.00	-45.5000	-17.0500	-14.371
-75000.00	10000.00	-45.5000	-17.0333	-16.162
-75000.00	15000.00	-45.5000	-17.0167	-17.382
-75000.00	20000.00	-45.5000	-17.0000	-18.016
-75000.00	25000.00	-45.5000	-16.9833	-18.099
-75000.00	30000.00	-45.5000	-16.9667	-17.697
-75000.00	35000.00	-45.5000	-16.9500	-16.904
-75000.00	40000.00	-45.5000	-16.9333	-15.819
-75000.00	45000.00	-45.5000	-16.9167	-14.541
-75000.00	50000.00	-45.5000	-16.9000	-13.159
-75000.00	55000.00	-45.5000	-16.8833	-11.746
-75000.00	60000.00	-45.5000	-16.8667	-10.358
-75000.00	65000.00	-45.5000	-16.8500	-9.036
-75000.00	70000.00	-45.5000	-16.8333	-7.806
-75000.00	75000.00	-45.5000	-16.8167	-6.684
-75000.00	80000.00	-45.5000	-16.8000	-5.676
-75000.00	85000.00	-45.5000	-16.7833	-4.781
-75000.00	90000.00	-45.5000	-16.7667	-3.994
-75000.00	95000.00	-45.5000	-16.7500	-3.309
-75000.00	100000.00	-45.5000	-16.7333	-2.716
-75000.00	105000.00	-45.5000	-16.7167	-2.207
-75000.00	110000.00	-45.5000	-16.7000	-1.771
-75000.00	115000.00	-45.5000	-16.6833	-1.400
-75000.00	120000.00	-45.5000	-16.6667	-1.085
-75000.00	125000.00	-45.5000	-16.6500	-0.819
-75000.00	130000.00	-45.5000	-16.6333	-0.595
-75000.00	135000.00	-45.5000	-16.6167	-0.407
-75000.00	140000.00	-45.5000	-16.6000	-0.250
-75000.00	145000.00	-45.5000	-16.5833	-0.120
-75000.00	150000.00	-45.5000	-16.5667	-0.011
-70000.00	-100000.00	-45.5000	-16.5500	9.827
-70000.00	-95000.00	-45.5000	-16.5333	10.533
-70000.00	-90000.00	-45.5000	-16.5167	11.254
-70000.00	-85000.00	-45.5000	-16.5000	11.975
-70000.00	-80000.00	-45.4833	-18.2500	12.675
-70000.00	-75000.00	-45.4833	-18.2333	13.327
-70000.00	-70000.00	-45.4833	-18.2167	13.895
-70000.00	-65000.00	-45.4833	-18.2000	14.333
-70000.00	-60000.00	-45.4833	-18.1833	14.589
-70000.00	-55000.00	-45.4833	-18.1667	14.599
-70000.00	-50000.00	-45.4833	-18.1500	14.296
-70000.00	-45000.00	-45.4833	-18.1333	13.609
-70000.00	-40000.00	-45.4833	-18.1167	12.476
-70000.00	-35000.00	-45.4833	-18.1000	10.849
-70000.00	-30000.00	-45.4833	-18.0833	8.706
-70000.00	-25000.00	-45.4833	-18.0667	6.067
-70000.00	-20000.00	-45.4833	-18.0500	2.997
-70000.00	-15000.00	-45.4833	-18.0333	-0.384
-70000.00	-10000.00	-45.4833	-18.0167	-3.909
-70000.00	-5000.00	-45.4833	-18.0000	-7.380
-70000.00	0.00	-45.4833	-17.9833	-10.591
-70000.00	5000.00	-45.4833	-17.9667	-13.350
-70000.00	10000.00	-45.4833	-17.9500	-15.514
-70000.00	15000.00	-45.4833	-17.9333	-16.997
-70000.00	20000.00	-45.4833	-17.9167	-17.782
-70000.00	25000.00	-45.4833	-17.9000	-17.914
-70000.00	30000.00	-45.4833	-17.8833	-17.481
-70000.00	35000.00	-45.4833	-17.8667	-16.602
-70000.00	40000.00	-45.4833	-17.8500	-15.403
-70000.00	45000.00	-45.4833	-17.8333	-14.005
-70000.00	50000.00	-45.4833	-17.8167	-12.510
-70000.00	55000.00	-45.4833	-17.8000	-11.004
-70000.00	60000.00	-45.4833	-17.7833	-9.546
-70000.00	65000.00	-45.4833	-17.7667	-8.179
-70000.00	70000.00	-45.4833	-17.7500	-6.928
-70000.00	75000.00	-45.4833	-17.7333	-5.805
-70000.00	80000.00	-45.4833	-17.7167	-4.811
-70000.00	85000.00	-45.4833	-17.7000	-3.943
-70000.00	90000.00	-45.4833	-17.6833	-3.193
-70000.00	95000.00	-45.4833	-17.6667	-2.551
-70000.00	100000.00	-45.4833	-17.6500	-2.004
-70000.00	105000.00	-45.4833	-17.6333	-1.542
-70000.00	110000.00	-45.4833	-17.6167	-1.153
-70000.00	115000.00	-45.4833	-17.6000	-0.829
-70000.00	120000.00	-45.4833	-17.5833	-0.558
-70000.00	125000.00	-45.4833	-17.5667	-0.335
-70000.00	130000.00	-45.4833	-17.5500	-0.151
-70000.00	135000.00	-45.4833	-17.5333	0.000
